"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
5,3,788,"ABBA","1998",840,"L","E",180,"S","FSLP",8,6,FALSE,1986,5.2,3.5,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0021237216,NA,NA,NA,475,TRUE
5,3,789,"ABBA","2010",840,"L","E",180,"S","FSLP",6,8,FALSE,1986,30.7,15,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0740231646,NA,NA,NA,476,TRUE
5,3,790,"ABBA",NA,840,"L","E",180,"S","FSLP",8,8,FALSE,1986,7.8,5.79,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0047783736,NA,NA,NA,477,FALSE
5,3,791,"SOAM","2010",840,"L","E",180,"S","FSLP",8,9,FALSE,1986,13.1,10.2,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0134782494,NA,NA,NA,478,TRUE
5,3,792,"ABBA",NA,840,"L","E",180,"S","FSLP",8,10,FALSE,1986,9.5,6.37,NA,NA,NA,"ALIVE",NA,15.261481190625,0.007088235,NA,NA,NA,479,FALSE
5,4,512,"PIRU","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,10.6,NA,NA,NA,NA,"DEAD",NA,15.261481190625,0.0088247544,NA,NA,NA,521,TRUE
5,4,589,"PIRU","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,12.4,NA,NA,NA,NA,"DEAD",NA,15.261481190625,0.0120763104,NA,NA,NA,522,TRUE
5,4,719,"PIRU","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,10.5,NA,NA,NA,NA,"DEAD",NA,15.261481190625,0.008659035,NA,NA,NA,527,TRUE
5,4,730,"ABBA",NA,840,"L","E",180,"S","FSLP",6,5,FALSE,1986,16.1,10.4,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0203583534,NA,NA,NA,528,FALSE
5,4,743,"ABBA",NA,840,"L","E",180,"S","FSLP",10,2,FALSE,1986,7.3,6.21,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0041853966,NA,NA,NA,529,FALSE
5,4,748,"ABBA",NA,840,"L","E",180,"S","FSLP",9,4,FALSE,1986,5.7,3.29,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0025517646,NA,NA,NA,530,FALSE
5,4,749,"BEAL","1986",840,"L","E",180,"S","FSLP",6,3,FALSE,1986,18.4,9.45,NA,NA,NA,"DEAD",NA,15.261481190625,0.0265905024,NA,NA,NA,531,TRUE
5,4,750,"PIRU","1986",840,"L","E",180,"S","FSLP",7,2,FALSE,1986,12.1,7.64,NA,NA,NA,"DEAD",NA,15.261481190625,0.0114990414,NA,NA,NA,532,TRUE
5,4,751,"BECO",NA,840,"L","E",180,"S","FSLP",8,3,FALSE,1986,17.9,14.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0251650014,NA,NA,NA,533,FALSE
5,4,758,"BECO",NA,840,"L","E",180,"S","FSLP",10,1,FALSE,1986,19.2,12.5,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0289529856,NA,NA,NA,534,FALSE
5,4,759,"ABBA",NA,840,"L","E",180,"S","FSLP",6,4,FALSE,1986,16.5,10.8,NA,NA,NA,"ALIVE",NA,15.261481190625,0.021382515,NA,NA,NA,535,FALSE
5,4,763,"BECO",NA,840,"L","E",180,"S","FSLP",8,4,FALSE,1986,29.2,15.3,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0669663456,NA,NA,NA,536,FALSE
5,4,765,"BEAL",NA,840,"L","E",180,"S","FSLP",8,4,FALSE,1986,6.2,6.09,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0030190776,NA,NA,NA,537,FALSE
5,4,768,"ABBA",NA,840,"L","E",180,"S","FSLP",8,4,FALSE,1986,5.3,4.31,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0022061886,NA,NA,NA,538,FALSE
5,4,769,"ABBA",NA,840,"L","E",180,"S","FSLP",9,3,FALSE,1986,5.6,5.92,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0024630144,NA,NA,NA,539,FALSE
5,4,772,"BEAL",NA,840,"L","E",180,"S","FSLP",6,2,FALSE,1986,38.5,17.8,NA,NA,NA,"ALIVE",NA,15.261481190625,0.116415915,NA,NA,NA,540,FALSE
5,4,782,"ABBA",NA,840,"L","E",180,"S","FSLP",8,4,FALSE,1986,7.2,5.96,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0040715136,NA,NA,NA,541,FALSE
5,4,787,"PIRU","1986",840,"L","E",180,"S","FSLP",10,3,FALSE,1986,9.9,8.12,NA,NA,NA,"DEAD",NA,15.261481190625,0.0076977054,NA,NA,NA,542,TRUE
6,1,50,"PIRU",NA,815,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,28.4,NA,NA,NA,NA,"ALIVE",NA,13.6033019150909,0.0633472224,NA,NA,NA,582,FALSE
6,1,878,"ABBA","1998",815,"L","E",180,"S","FSLP",1,5,FALSE,1986,23,16.3,NA,NA,NA,"ALIVE",NA,13.6033019150909,0.04154766,NA,NA,NA,615,TRUE
6,1,879,"ABBA","1998",815,"L","E",180,"S","FSLP",1,3,FALSE,1986,21.5,13.5,NA,NA,NA,"ALIVE",NA,13.6033019150909,0.036305115,NA,NA,NA,616,TRUE
6,1,880,"PIRU",NA,815,"L","E",180,"S","FSLP",1,3,FALSE,1986,15.9,11.9,NA,NA,NA,"ALIVE",NA,13.6033019150909,0.0198556974,NA,NA,NA,617,FALSE
6,1,881,"PRPE","1998",815,"L","E",180,"S","FSLP",2,1,FALSE,1986,19.7,10.6,NA,NA,NA,"ALIVE",NA,13.6033019150909,0.0304805886,NA,NA,NA,618,TRUE
