"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
71,11,91,"71.11",1800,1940,45.281184564,43.380563688,752.06331698,696.29707686
71,11,97,"71.11",1440,1800,53.48314833708,45.281184564,972.58094906,752.06331698
71,14,73,"71.14",2600,NA,26.921988324,NA,313.3584416,NA
71,14,76,"71.14",2580,2600,33.85450992,26.921988324,426.40780176,313.3584416
71,14,79,"71.14",2480,2580,37.99757346,33.85450992,500.39949606,426.40780176
71,14,82,"71.14",2400,2480,41.41838316,37.99757346,569.54287282,500.39949606
71,14,85,"71.14",2340,2400,43.865579604,41.41838316,624.61112216,569.54287282
71,14,91,"71.14",2180,2340,45.57652638,43.865579604,672.86626736,624.61112216
71,14,97,"71.14",1600,2180,53.897823672,45.57652638,881.74043558,672.86626736
72,2,73,"72.2",480,NA,51.92491458,NA,1947.14006112,NA
72,2,76,"72.2",480,480,54.644660532,51.92491458,2047.37454678,1947.14006112
72,2,79,"72.2",480,480,58.103719212,54.644660532,2230.254792,2047.37454678
72,2,82,"72.2",460,480,61.280552256,58.103719212,2412.16020618,2230.254792
72,2,85,"72.2",420,460,63.664194132,61.280552256,2623.17528618,2412.16020618
72,2,91,"72.2",420,420,67.352071248,63.664194132,2825.84257942,2623.17528618
72,2,97,"72.2",260,420,76.747434456,67.352071248,3543.46173372,2825.84257942
72,14,73,"72.14",660,NA,59.54879238,NA,2173.84887352,NA
72,14,76,"72.14",600,660,61.571637204,59.54879238,2319.12848628,2173.84887352
72,14,79,"72.14",580,600,65.096198244,61.571637204,2490.80972066,2319.12848628
72,14,82,"72.14",520,580,66.933421632,65.096198244,2679.73279118,2490.80972066
72,14,85,"72.14",460,520,69.351668232,66.933421632,2883.87600458,2679.73279118
72,14,91,"72.14",440,460,71.70215052,69.351668232,3063.54095048,2883.87600458
72,14,97,"72.14",220,440,86.256366504,71.70215052,4135.85816594,3063.54095048
