"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
180,430,2,6,"FD",53,5,252,0.918416058086637,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",60,5,258,0.999999998668774,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",63,5,261,0.693772217181609,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",66,5,264,1.03045135613433,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",68,5,266,0.587460970148738,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",69,5,267,2.25743417467967,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",72,5,270,1.09598266076966,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",79,5,277,1.07570457449334,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",80,5,278,1.20915173158581,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",82,5,280,1.13603204878831,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",85,5,283,0.767491599254429,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",90,5,288,1.04313405309715,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",92,5,290,0.991516834053079,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",98,5,296,1.4996033095828,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",110,5,308,0.400184662037306,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",112,5,310,2.0537988072455,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",115,5,313,0.965738739382013,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",116,5,314,0.879577387423486,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",117,5,315,1.27063068432846,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",118,5,316,1.0197971028437,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",120,5,318,0.631183020504146,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",121,5,319,1.73296073886039,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",128,5,326,1.04376556207009,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",131,5,329,0.960628451591889,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",132,5,330,0.763358464476941,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",136,5,334,0.974799263733137,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",142,5,340,0.906697985910567,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",145,5,343,1.15539580278122,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",147,5,345,0.999930551433929,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",152,5,350,0,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",153,5,351,0.674117044019669,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",154,5,352,1.29600955792995,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",157,5,355,1.03411574583218,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",160,5,358,1.00000333876624,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",161,5,359,0.775582575759094,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",162,5,360,0.569975162738508,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",164,5,362,0.603195688984683,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",315,5,369,0,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",5,6,204,1.12465811872073,"bs",0.173059141816144,2,2,1,2,Inf
